,vel x,vel y,vel z
0,5.336669818074448e-36,-1.3177457735453325e-36,-0.29380425927945
1,9.075603349305847e-35,-1.2755191333916215e-35,-0.7236604157628638
2,4.179588849995964e-14,-1.681724990143258e-07,-0.8990138081763643
3,2.9252366158929337e-15,-7.030000802551607e-07,-1.1322671217907194
4,-1.9243781016026267e-13,-1.3647236197241205e-06,-1.3067359908565306
5,-5.928741272344256e-13,-2.2977233154061786e-06,-1.5193599962731965
6,-1.6893840114136654e-12,-4.066838802971896e-06,-1.808075825114496
7,-5.389649285994062e-12,-4.808802946994356e-06,-2.037916850996488
8,-2.4712189847967013e-12,-6.700588472685014e-06,-2.2286007870819877
9,2.0760150112007374e-12,-6.819718657313365e-06,-2.4374003108072335
10,-1.0577876465073318e-12,-8.112903322761743e-06,-2.626285805557465
11,-1.810021339238075e-11,-1.0213010712891957e-05,-2.945206244438109
12,-3.01637846819901e-11,-1.0768093635090617e-05,-3.1500032904570667
13,-4.012071610095903e-11,-1.1158046382619639e-05,-3.353492580548254
14,-4.490210825592963e-11,-1.1379470713238875e-05,-3.55561007667218
15,-6.116325032695301e-11,-1.244354248272263e-05,-3.7199122279617436
16,-5.3940798269411684e-11,-1.2028413420180455e-05,-3.9554803025588847
17,-5.240090540806604e-11,-1.2013025908035135e-05,-4.0993724458197285
18,2.99961976007876e-08,0.0011024844206438498,-4.300109422629819
19,1.1396124820933926e-08,-7.193634166465222e-05,-4.419785189231531
20,1.178796838645974e-09,-3.64720842440124e-05,-4.596131052333242
21,1.9242722883028146e-10,-2.2938106650608663e-05,-4.788351532391494
22,1.902503815213575e-10,-1.829217157660508e-05,-5.16732929974505
23,1.86349114541733e-10,-1.842919435423694e-05,-5.387767903536629
24,-5.491524479386769e-10,-6.456093691107833e-05,-5.605408575128857
25,1.4004792241544946e-07,0.00829532140079686,-5.7918605890940675
26,-0.0013184836836936595,-1.538527007855679,-2.1898150822112212
27,-0.05535925065163301,-0.8087391024129951,0.8646136285435964
28,-0.03760876201709893,-0.7977777289049932,0.7422706506260021
29,-0.024393876656908196,-0.7905168024192286,0.6383894791581994
30,0.021045147473681577,-0.7903218207616165,0.516118900500507
31,0.061921283371049275,-0.7000906813949801,0.4479255071476925
32,-0.048765304179375586,-0.5383618366251662,0.47872916113701436
